State,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,
Oregon,"6,630","6,930","7,354","7,988","8,394","8,394","9,065","9,394","10,063","10,548","11,632","12,177","12,720","13,198","13,868","15,183","15,629","16,402",,,,
Pennsylvania,"8,277","8,672","9,124","9,501","9,769","9,769","10,534","11,091","11,861","12,944","13,734","14,771","15,464","16,263","17,187","18,147","19,017","19,916",,,,
Rhode Island,"8,604","9,067","9,446","9,648","9,962","9,962","10,595","11,095","11,610","12,266","12,767","13,541","14,315","14,999","15,775","17,289","18,509","19,815",,,,
South Carolina,"6,206","6,756","6,964","7,238","7,160","7,160","7,703","9,096","10,077","11,139","12,668","12,165","13,145","14,205","15,089","16,137","16,788","17,641",,,,
South Dakota,"4,917","5,271","5,619","5,814","5,993","5,993","6,520","6,975","7,469","7,724","8,406","8,944","9,493","10,018","10,522","11,357","12,022","12,603",,,,
Tennessee,"5,019","5,131","5,372","5,498","5,788","5,788","6,555","7,658","7,781","8,349","8,934","9,445","9,956","10,528","11,340","12,057","12,748","13,759",,,,
Texas,"4,934","5,177","5,464","5,911","6,313","6,313","7,497","7,614","8,062","8,661","9,180","10,233","10,973","11,827","12,367","13,222","13,764","14,585",,,,
Utah,"5,125","5,334","5,414","5,559","5,953","5,953","6,299","6,598","7,393","7,410","7,878","8,348","8,745","9,044","9,706","10,301","10,109","10,768",,,,
Vermont,"10,054","10,327","10,640","11,360","11,469","11,469","12,478","12,847","13,450","14,016","14,769","15,658","16,571","17,280","18,245","19,688","20,735","21,530",,,,
Virginia,"7,725","7,958","8,202","8,450","8,627","8,627","8,619","8,751","8,988","9,538","10,903","11,616","12,279","13,134","13,928","14,850","15,616","18,110",,,,
Washington,"6,476","7,068","7,136","7,320","7,704","7,704","8,314","8,909","9,986","10,816","11,335","11,902","12,384","13,150","13,478","14,153","15,189","16,253",,,,
West Virginia,"5,687","5,912","6,128","6,348","6,558","6,558","7,105","7,290","7,625","8,175","8,764","9,450","9,992","10,552","11,426","12,128","12,426","12,799",,,,
Wisconsin,"5,249","5,613","5,847","6,075","6,409","6,409","7,268","7,396","7,786","8,204","9,061","9,872","10,560","11,235","11,747","12,400","13,190","13,819",,,,
Wyoming,"4,900","5,237","5,429","6,016","6,450","6,450","7,091","7,017","7,421","7,977","8,485","8,514","8,946","9,627","10,068","10,556","10,952","11,467",,,,
,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA ,NA,NA,NA,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
